model,budget_pos,seed,train_n,train_pos,auc,acc
Diffusion_v1,10,0,16,8,0.6608,0.58
Diffusion_v1,10,1,16,9,0.7268,0.67
Diffusion_v1,10,2,16,8,0.6564,0.62
Diffusion_v1,10,3,16,10,0.6624,0.62
Diffusion_v1,10,4,16,8,0.5904,0.56
Diffusion_v1,25,0,48,24,0.6672,0.58
Diffusion_v1,25,1,48,24,0.7092,0.66
Diffusion_v1,25,2,48,24,0.6624,0.61
Diffusion_v1,25,3,48,24,0.6556,0.61
Diffusion_v1,25,4,48,25,0.6732,0.64
Diffusion_v1,50,0,96,48,0.6804,0.64
Diffusion_v1,50,1,96,48,0.752,0.67
Diffusion_v1,50,2,96,49,0.7052,0.65
Diffusion_v1,50,3,96,48,0.7128,0.66
Diffusion_v1,50,4,96,46,0.7076,0.62
Diffusion_v1,100,0,192,97,0.7028,0.62
Diffusion_v1,100,1,192,97,0.7836,0.75
Diffusion_v1,100,2,192,96,0.7492,0.66
Diffusion_v1,100,3,192,98,0.7308,0.66
Diffusion_v1,100,4,192,97,0.736,0.65
Diffusion_2early_skips_v1,10,0,16,8,0.6836,0.61
Diffusion_2early_skips_v1,10,1,16,8,0.7284,0.62
Diffusion_2early_skips_v1,10,2,16,9,0.6692,0.6
Diffusion_2early_skips_v1,10,3,16,8,0.6744,0.59
Diffusion_2early_skips_v1,10,4,16,8,0.6612,0.62
Diffusion_2early_skips_v1,25,0,48,25,0.6756,0.6
Diffusion_2early_skips_v1,25,1,48,23,0.7196,0.67
Diffusion_2early_skips_v1,25,2,48,24,0.664,0.64
Diffusion_2early_skips_v1,25,3,48,23,0.6948,0.61
Diffusion_2early_skips_v1,25,4,48,25,0.6884,0.63
Diffusion_2early_skips_v1,50,0,96,49,0.6772,0.63
Diffusion_2early_skips_v1,50,1,96,48,0.7316,0.64
Diffusion_2early_skips_v1,50,2,96,48,0.6972,0.66
Diffusion_2early_skips_v1,50,3,96,48,0.7296,0.68
Diffusion_2early_skips_v1,50,4,96,48,0.7312,0.64
Diffusion_2early_skips_v1,100,0,192,95,0.6972,0.62
Diffusion_2early_skips_v1,100,1,192,96,0.7456,0.67
Diffusion_2early_skips_v1,100,2,192,98,0.7356,0.67
Diffusion_2early_skips_v1,100,3,192,96,0.764,0.69
Diffusion_2early_skips_v1,100,4,192,97,0.738,0.64
GAE_knn_v1,10,0,16,8,0.7824,0.77
GAE_knn_v1,10,1,16,6,0.7184,0.69
GAE_knn_v1,10,2,16,8,0.7048,0.63
GAE_knn_v1,10,3,16,7,0.6756,0.61
GAE_knn_v1,10,4,16,7,0.6564,0.61
GAE_knn_v1,25,0,48,23,0.778,0.71
GAE_knn_v1,25,1,48,24,0.7624,0.72
GAE_knn_v1,25,2,48,25,0.7052,0.66
GAE_knn_v1,25,3,48,25,0.7168,0.66
GAE_knn_v1,25,4,48,24,0.748,0.69
GAE_knn_v1,50,0,96,50,0.8068,0.73
GAE_knn_v1,50,1,96,49,0.8456,0.78
GAE_knn_v1,50,2,96,48,0.8112,0.78
GAE_knn_v1,50,3,96,49,0.8244,0.79
GAE_knn_v1,50,4,96,49,0.8372,0.77
GAE_knn_v1,100,0,192,95,0.8576,0.8
GAE_knn_v1,100,1,192,97,0.8664,0.82
GAE_knn_v1,100,2,192,96,0.856,0.82
GAE_knn_v1,100,3,192,95,0.8636,0.8
GAE_knn_v1,100,4,192,97,0.8508,0.77
