model,budget_pos,auc_mean,auc_std,acc_mean,acc_std,n_repeats
Diffusion_v1,10,0.6594,0.0432,0.61,0.0379,5
Diffusion_v1,25,0.6735,0.0188,0.62,0.0276,5
Diffusion_v1,50,0.7116,0.0231,0.648,0.0172,5
Diffusion_v1,100,0.7405,0.0263,0.668,0.0435,5
Diffusion_2early_skips_v1,10,0.6834,0.0237,0.608,0.0117,5
Diffusion_2early_skips_v1,25,0.6885,0.0188,0.63,0.0245,5
Diffusion_2early_skips_v1,50,0.7134,0.0223,0.65,0.0179,5
Diffusion_2early_skips_v1,100,0.7361,0.0218,0.658,0.0248,5
GAE_knn_v1,10,0.7075,0.0433,0.662,0.0614,5
GAE_knn_v1,25,0.7421,0.0273,0.688,0.0248,5
GAE_knn_v1,50,0.825,0.0148,0.77,0.021,5
GAE_knn_v1,100,0.8589,0.0056,0.802,0.0183,5
