model,budget_pos,seed,train_n,train_pos,auc,acc
CAE_v4,10,0,16,7,0.708,0.64
CAE_v4,10,1,16,7,0.6968,0.64
CAE_v4,10,2,16,8,0.672,0.56
CAE_v4,10,3,16,7,0.6432,0.53
CAE_v4,10,4,16,8,0.6768,0.67
CAE_v4,25,0,48,23,0.6952,0.58
CAE_v4,25,1,48,25,0.7164,0.65
CAE_v4,25,2,48,25,0.6524,0.57
CAE_v4,25,3,48,23,0.6852,0.64
CAE_v4,25,4,48,24,0.6852,0.68
CAE_v4,50,0,96,49,0.7088,0.65
CAE_v4,50,1,96,48,0.7324,0.66
CAE_v4,50,2,96,49,0.6896,0.64
CAE_v4,50,3,96,48,0.7052,0.67
CAE_v4,50,4,96,50,0.7224,0.63
CAE_v4,100,0,192,96,0.6944,0.59
CAE_v4,100,1,192,97,0.7236,0.65
CAE_v4,100,2,192,96,0.6972,0.66
CAE_v4,100,3,192,96,0.718,0.66
CAE_v4,100,4,192,97,0.7088,0.65
CAE_v4_5skips,10,0,16,9,0.6456,0.59
CAE_v4_5skips,10,1,16,7,0.6012,0.61
CAE_v4_5skips,10,2,16,9,0.7144,0.51
CAE_v4_5skips,10,3,16,10,0.658,0.55
CAE_v4_5skips,10,4,16,8,0.482,0.51
CAE_v4_5skips,25,0,48,24,0.6548,0.59
CAE_v4_5skips,25,1,48,24,0.6504,0.64
CAE_v4_5skips,25,2,48,24,0.6888,0.59
CAE_v4_5skips,25,3,48,25,0.6932,0.61
CAE_v4_5skips,25,4,48,23,0.566,0.57
CAE_v4_5skips,50,0,96,48,0.7252,0.61
CAE_v4_5skips,50,1,96,48,0.678,0.62
CAE_v4_5skips,50,2,96,48,0.722,0.67
CAE_v4_5skips,50,3,96,49,0.7216,0.66
CAE_v4_5skips,50,4,96,48,0.7472,0.69
CAE_v4_5skips,100,0,192,97,0.704,0.6
CAE_v4_5skips,100,1,192,95,0.722,0.63
CAE_v4_5skips,100,2,192,95,0.71,0.62
CAE_v4_5skips,100,3,192,97,0.7332,0.68
CAE_v4_5skips,100,4,192,94,0.75,0.66
CAE_v4_early_skips,10,0,16,10,0.718,0.65
CAE_v4_early_skips,10,1,16,7,0.7016,0.61
CAE_v4_early_skips,10,2,16,8,0.7104,0.63
CAE_v4_early_skips,10,3,16,7,0.676,0.62
CAE_v4_early_skips,10,4,16,8,0.59,0.57
CAE_v4_early_skips,25,0,48,24,0.7012,0.65
CAE_v4_early_skips,25,1,48,24,0.706,0.63
CAE_v4_early_skips,25,2,48,24,0.676,0.66
CAE_v4_early_skips,25,3,48,24,0.6892,0.65
CAE_v4_early_skips,25,4,48,24,0.666,0.63
CAE_v4_early_skips,50,0,96,48,0.732,0.67
CAE_v4_early_skips,50,1,96,50,0.7212,0.63
CAE_v4_early_skips,50,2,96,47,0.6888,0.63
CAE_v4_early_skips,50,3,96,47,0.684,0.64
CAE_v4_early_skips,50,4,96,46,0.7348,0.65
CAE_v4_early_skips,100,0,192,93,0.6976,0.63
CAE_v4_early_skips,100,1,192,97,0.698,0.65
CAE_v4_early_skips,100,2,192,98,0.6728,0.66
CAE_v4_early_skips,100,3,192,97,0.7088,0.66
CAE_v4_early_skips,100,4,192,96,0.7112,0.64
CAE_v4_deep_skips,10,0,16,8,0.6416,0.59
CAE_v4_deep_skips,10,1,16,10,0.652,0.59
CAE_v4_deep_skips,10,2,16,9,0.7076,0.68
CAE_v4_deep_skips,10,3,16,8,0.5424,0.5
CAE_v4_deep_skips,10,4,16,7,0.6096,0.5
CAE_v4_deep_skips,25,0,48,23,0.6732,0.6
CAE_v4_deep_skips,25,1,48,24,0.7248,0.67
CAE_v4_deep_skips,25,2,48,25,0.6596,0.58
CAE_v4_deep_skips,25,3,48,24,0.6392,0.6
CAE_v4_deep_skips,25,4,48,24,0.6652,0.56
CAE_v4_deep_skips,50,0,96,47,0.6924,0.63
CAE_v4_deep_skips,50,1,96,48,0.6876,0.61
CAE_v4_deep_skips,50,2,96,48,0.6944,0.63
CAE_v4_deep_skips,50,3,96,48,0.658,0.62
CAE_v4_deep_skips,50,4,96,49,0.674,0.56
CAE_v4_deep_skips,100,0,192,95,0.6912,0.62
CAE_v4_deep_skips,100,1,192,96,0.7128,0.67
CAE_v4_deep_skips,100,2,192,96,0.6972,0.66
CAE_v4_deep_skips,100,3,192,96,0.6796,0.63
CAE_v4_deep_skips,100,4,192,95,0.6888,0.61
