model,budget_pos,auc_mean,auc_std,acc_mean,acc_std,n_repeats
CAE_v4,10,0.6794,0.0223,0.608,0.0534,5
CAE_v4,25,0.6869,0.0207,0.624,0.0422,5
CAE_v4,50,0.7117,0.0147,0.65,0.0141,5
CAE_v4,100,0.7084,0.0114,0.642,0.0264,5
CAE_v4_5skips,10,0.6202,0.078,0.554,0.0408,5
CAE_v4_5skips,25,0.6506,0.0457,0.6,0.0237,5
CAE_v4_5skips,50,0.7188,0.0225,0.65,0.0303,5
CAE_v4_5skips,100,0.7238,0.0165,0.638,0.0286,5
CAE_v4_early_skips,10,0.6792,0.0468,0.616,0.0265,5
CAE_v4_early_skips,25,0.6877,0.015,0.644,0.012,5
CAE_v4_early_skips,50,0.7122,0.0216,0.644,0.015,5
CAE_v4_early_skips,100,0.6977,0.0136,0.648,0.0117,5
CAE_v4_deep_skips,10,0.6306,0.0543,0.572,0.0673,5
CAE_v4_deep_skips,25,0.6724,0.0285,0.602,0.0371,5
CAE_v4_deep_skips,50,0.6813,0.0136,0.61,0.0261,5
CAE_v4_deep_skips,100,0.6939,0.011,0.638,0.0232,5
