model,budget_pos,seed,train_n,train_pos,auc,acc
Diffusion_v1,10,0,16,7,0.7048,0.64
Diffusion_v1,10,1,16,9,0.7228,0.64
Diffusion_v1,10,2,16,8,0.6348,0.56
Diffusion_v1,10,3,16,7,0.6232,0.56
Diffusion_v1,10,4,16,8,0.6316,0.61
Diffusion_v1,25,0,48,25,0.6784,0.61
Diffusion_v1,25,1,48,25,0.694,0.62
Diffusion_v1,25,2,48,23,0.6728,0.62
Diffusion_v1,25,3,48,24,0.648,0.58
Diffusion_v1,25,4,48,24,0.6764,0.64
Diffusion_v1,50,0,96,47,0.6704,0.59
Diffusion_v1,50,1,96,48,0.7416,0.67
Diffusion_v1,50,2,96,48,0.7484,0.71
Diffusion_v1,50,3,96,48,0.7352,0.69
Diffusion_v1,50,4,96,49,0.7456,0.7
Diffusion_v1,100,0,192,96,0.76,0.57
Diffusion_v1,100,1,192,94,0.7644,0.71
Diffusion_v1,100,2,192,96,0.7728,0.68
Diffusion_v1,100,3,192,94,0.7296,0.66
Diffusion_v1,100,4,192,97,0.7508,0.64
Diffusion_2early_skips_v1,10,0,16,8,0.65,0.58
Diffusion_2early_skips_v1,10,1,16,8,0.7168,0.63
Diffusion_2early_skips_v1,10,2,16,8,0.6976,0.62
Diffusion_2early_skips_v1,10,3,16,9,0.6948,0.65
Diffusion_2early_skips_v1,10,4,16,7,0.6644,0.6
Diffusion_2early_skips_v1,25,0,48,24,0.6284,0.54
Diffusion_2early_skips_v1,25,1,48,24,0.7392,0.62
Diffusion_2early_skips_v1,25,2,48,23,0.6768,0.61
Diffusion_2early_skips_v1,25,3,48,24,0.6416,0.56
Diffusion_2early_skips_v1,25,4,48,25,0.6972,0.68
Diffusion_2early_skips_v1,50,0,96,48,0.6684,0.56
Diffusion_2early_skips_v1,50,1,96,48,0.7384,0.66
Diffusion_2early_skips_v1,50,2,96,48,0.7268,0.63
Diffusion_2early_skips_v1,50,3,96,49,0.718,0.63
Diffusion_2early_skips_v1,50,4,96,48,0.7288,0.67
Diffusion_2early_skips_v1,100,0,192,95,0.78,0.68
Diffusion_2early_skips_v1,100,1,192,95,0.402,0.51
Diffusion_2early_skips_v1,100,2,192,96,0.748,0.66
Diffusion_2early_skips_v1,100,3,192,96,0.7,0.63
Diffusion_2early_skips_v1,100,4,192,97,0.8056,0.69
